,K=5,K=15,K=25
Gussian,54.68676217397054,152.67575393120447,276.4098605910937
Kmeans,6.166994373003642,32.17928399642308,27.204171419143677
Spectural,571.7999816735586,508.56800397237146,877.2455075979233
