,K=5,K=15,K=25
DF,0.13357517547343795,0.25005688659754494,0.281269449908042
PCA,0.024302778140052772,-0.06215835613456331,-0.06877320213787114
SVD,0.11891782903253023,0.10744717531993023,0.12114167571993666
TSNE,0.2133910800000056,0.21413989724233337,0.20009046285018814
